Time (s),Mole fraction
,Ar,He,Ne,N2,SiH4(1),H2(2),SiH2(3),Si2H6(4),SiH3SiH(5)
1.2871464157576575,0.0,0.0,0.0,0.0,0.42565335148680611,0.5371733242565967,1.0693934318719423e-15,0.037173324256595815,1.9403459513345027e-16
1.468914768599789,0.0,0.0,0.0,0.0,0.41608585053516894,0.54195707473241528,1.2310803200311841e-15,0.041957074732414314,2.1707133864134624e-16
1.6506831214419204,0.0,0.0,0.0,0.0,0.40673340158020638,0.54663329920989656,1.3964850250785826e-15,0.046633299209895424,2.3920058099632163e-16
1.8324514742840519,0.0,0.0,0.0,0.0,0.39759117093848934,0.55120441453075508,1.5656930343445188e-15,0.051204414530753868,2.6046951981739493e-16
2.0142198271261833,0.0,0.0,0.0,0.0,0.38865443357488949,0.55567278321255487,1.7387917867283298e-15,0.055672783212553596,2.809221618890678e-16
2.1959881799683147,0.0,0.0,0.0,0.0,0.37991857060577133,0.56004071469711403,1.9158707395876659e-15,0.060040714697112474,3.0059963627818828e-16
2.5595248856525776,0.0,0.0,0.0,0.0,0.36303150995145328,0.56848424502427275,2.2823374663719817e-15,0.068484245024271181,3.3778046608823298e-16
2.886707920768414,0.0,0.0,0.0,0.0,0.34847590133140627,0.5757620493342962,2.6267100687573414e-15,0.07576204933429434,3.6895289277459872e-16
3.21389095588425,0.0,0.0,0.0,0.0,0.33450389961076282,0.58274805019461806,2.9854667225338198e-15,0.082748050194615771,3.9814323765743337e-16
3.5410739910000864,0.0,0.0,0.0,0.0,0.32109210483293854,0.58945394758353009,3.3592084097231097e-15,0.089453947583527621,4.2551122783432281e-16
3.8682570261159226,0.0,0.0,0.0,0.0,0.3082180575927464,0.59589097120362611,3.7485607008517862e-15,0.095890971203623374,4.5120652891571327e-16
4.2776251221508295,-1.7237373997050748e-22,0.0,0.0,0.0,0.29283468572645832,0.60358265713677006,4.2586967911728312e-15,0.10358265713676704,4.8118796918385822e-16
4.686993218185736,-6.266415118687546e-22,0.0,0.0,0.0,0.27821912201709881,0.61089043899144968,4.7956314923516779e-15,0.11089043899144635,5.0896723780026173e-16
