Time (s),dln[SiH2(2)]/dln[k1]: SiH4(1)=SiH2(2)+H2(3),dln[SiH2(2)]/dln[k2]: H2(3)+Si(14)=SiH2(2),dln[SiH2(2)]/dln[k9]: SiH3SiH(5)=H4Si2(7),dln[SiH2(2)]/dln[k11]: H2(3)+H2Si2(22)=H4Si2(7),dln[SiH2(2)]/dG[SiH4(1)],dln[SiH2(2)]/dG[SiH2(2)],dln[SiH2(2)]/dG[H2(3)],dln[SiH2(2)]/dG[Si(14)],dln[SiH2(2)]/dG[SiH3SiH(5)],dln[SiH2(2)]/dG[H2Si2(22)]
3.43328948214e-05,0.99992441245806996,-0.99991931414860202,-8.0006994406392196e-10,-4.321687549811482e-11,-1.9549502301615403e-09,-0.55117082768734016,0.5511708262101308,0.55117082573192322,4.4111254646933628e-10,2.3819913022627558e-11
4.2063835954199994e-05,0.99992964569836651,-0.99987889231797489,-1.2010212475741614e-09,-6.4762688498130212e-11,-2.1623513334162886e-09,-0.55117082768742776,0.55117082624147962,0.5511708255245048,6.6217099898322412e-10,3.5695352671354011e-11
4.979477708699999e-05,0.999943055472852,-0.99983029386244704,-1.6831175175985216e-09,-9.0650449578456397e-11,-2.4165800330870722e-09,-0.55117082768751502,0.5511708262741567,0.55117082527025818,9.2796700290189303e-10,4.996395069992358e-11
5.752571821979999e-05,0.99996463939426561,-0.9997735211682528,-2.2463491914127957e-09,-1.2087964600886315e-10,-2.7176371270407725e-09,-0.55117082768760217,0.55117082630817993,0.55117082496918335,1.2384952911047854e-09,6.6625424507438214e-11
6.525665935259998e-05,0.99999439467438211,-0.99970857702230609,-2.8907057234299493e-09,-1.5544971247645769e-10,-3.0655219128584454e-09,-0.55117082768768977,0.55117082634356662,0.55117082462128109,1.5937500437611154e-09,8.5679462509327772e-11
8.071854161819999e-05,1.0000784061567292,-0.99955418752399849,-4.4227373651752032e-09,-2.376094551202711e-10,-3.9017686888821283e-09,-0.55117082768786396,0.55117082641851978,0.55117082378499827,2.4384080879880069e-09,1.3096357736088639e-10
9.999999999999998e-05,1.0001132410205089,-0.99920038262559308,-6.7869188636588236e-09,-3.6434135385634706e-10,-5.2064413057598733e-09,-0.55110709691002624,0.55110709574209982,0.55110709170222649,3.7418555631812455e-09,2.0081459768426935e-10
0.00011164230614939999,1.0003443183660108,-0.99914751811534941,-8.459710375503509e-09,-4.5398784287174433e-10,-6.1360987889587754e-09,-0.55117082768821279,0.55117082658561523,0.5511708215505976,4.6641174305822501e-09,2.5022519427078541e-10
0.0001425660706806,1.0007404731792202,-0.99861060449288119,-1.3793091176412941e-08,-7.3973496453038752e-10,-9.1192652666910024e-09,-0.55117082768856163,0.55117082677624984,0.55117081856736072,7.6045738192432129e-09,4.0772088402461646e-10
0.00017348983521179998,1.001266450178647,-0.99794386700873416,-2.0421602061370953e-08,-1.0947823913417413e-09,-1.2850778630861256e-08,-0.55117082768890957,0.55117082699124564,0.55117081483577701,1.125907280779431e-08,6.0341292766691931e-10
0.00020441359974299997,1.0019217282844539,-0.99714782668935709,-2.834368066935565e-08,-1.5190464655492638e-09,-1.7329979496131258e-08,-0.55117082768925707,0.55117082723140343,0.55117081035650606,1.5626753168436137e-08,8.3725521044521903e-10
0.0002662611288054,1.0036176064192643,-0.99517041874809875,-4.8060724004271323e-08,-2.5748060565526011e-09,-2.852773930045721e-08,-0.55117082768995129,0.55117082778983117,0.55117079915860778,2.6497347949006764e-08,1.4191597960001616e-09
0.0003281086578678,1.0058219687578749,-0.9926845190714022,-7.2926293289918604e-08,-3.9060540288159287e-09,-4.2703919625445628e-08,-0.55117082769064263,0.55117082845711618,0.55117078498229111,4.0206473999245103e-08,2.152905579238892e-09
0.00038995618693019995,1.0085271503263467,-0.98969779249572509,-1.0291866982557676e-07,-5.5116278769005865e-09,-5.98474922774707e-08,-0.55117082769133019,0.55117082923805927,0.55117076783858376,5.6742156197510365e-08,3.0378516609593791e-09
0.0004518037159925999,1.0117240181600282,-0.98621937176568875,-1.3801237341556377e-07,-7.3901638681449971e-09,-7.9945029100436354e-08,-0.55117082769201542,0.55117083013662915,0.55117074774091479,7.6090348465177505e-08,4.0732461557483272e-09
0.0005754987741174,1.0195493648903935,-0.97783089557946179,-2.2338350458151103e-07,-1.1959686424076192e-08,-1.2893649454670013e-07,-0.55117082769337256,0.55117083229819575,0.55117069874919122,1.2315795887351385e-07,6.5918317050976202e-09
0.0006991938322421999,1.0291984342979854,-0.96761866592829859,-3.2876631044902414e-07,-1.7599992053412253e-08,-1.8952751293208554e-07,-0.5511708276947106,0.55117083496158759,0.55117063815791778,1.8125857672488587e-07,9.700594978055112e-09
0.0009465839484917999,1.0534817215340562,-0.9422089762307434,-5.9824191931696986e-07,-3.2022049258222096e-08,-3.4475955273118202e-07,-0.55117082769731607,0.55117084182940135,0.55117048292532067,3.2982827271456945e-07,1.764954981953359e-08
0.0009999999999999998,1.0361521128509943,-0.91529444067103793,-6.5182989937180732e-07,-3.4889808115383756e-08,-3.7566699569491931e-07,-0.5390171942272588,0.5390172097652085,0.53901681854742645,3.5937285110249415e-07,1.9230150138316234e-08
0.0011679588831313738,1.0800868152107792,-0.91459586175749608,-9.0368650258185465e-07,-4.8368414051019315e-08,-5.209848435151605e-07,-0.55117082769955472,0.55117084973972519,0.55117030669942191,4.9822854760236849e-07,2.6659034520765943e-08
0.0013893338177709475,1.1103852945729435,-0.88328933232056217,-1.2674049193819061e-06,-6.7832892506250974e-08,-7.3103971861994442e-07,-0.55117082770169479,0.55117085929927789,0.5511700966437022,6.9875663150754257e-07,3.7386967587518657e-08
0.0016107087524105212,1.1434774696610612,-0.84918911952591769,-1.6869649637868034e-06,-9.0285353412341556e-08,-9.7351848038876694e-07,-0.55117082770373171,0.55117087046541513,0.55116985416368136,9.3007144654135471e-07,4.9761537844285775e-08
