Time (s),dln[SiH2(2)]/dln[k1]: SiH4(1)=SiH2(2)+H2(3),dln[SiH2(2)]/dln[k2]: Si2H6(4)=SiH4(1)+SiH2(2),dln[SiH2(2)]/dln[k3]: Si2H6(4)=H2(3)+SiH3SiH(5),dln[SiH2(2)]/dln[k5]: SiH2(2)+SiH2(2)=H4Si2(7),dln[SiH2(2)]/dln[k12]: H3Si(8)+H3Si(8)=Si2H6(4),dln[SiH2(2)]/dln[k23]: H2(3)+H3Si2(12)=H5Si2(11),dln[SiH2(2)]/dln[k30]: Si2H6(4)+HSi(10)=H7Si3(31),dln[SiH2(2)]/dln[k33]: SiH4(1)+H3Si2(12)=H7Si3(31),dln[SiH2(2)]/dG[SiH4(1)],dln[SiH2(2)]/dG[SiH2(2)],dln[SiH2(2)]/dG[H2(3)],dln[SiH2(2)]/dG[Si2H6(4)],dln[SiH2(2)]/dG[H3Si(8)],dln[SiH2(2)]/dG[HSi(10)],dln[SiH2(2)]/dG[H3Si2(12)]
9.175039e-09,0.9999999781245692,-0.0031155815590242658,-7.7847720479729242e-15,-9.3537529565911008e-10,-1.6155947042751174e-18,-7.9893346954546295e-23,-3.4452900171707828e-25,2.0981511078704548e-24,-0.0017172296025476359,-0.0017172296046114876,-1.0127415180213018e-12,0.0017172296035587022,1.0982197490457075e-18,3.6533599575975978e-14,4.4240522236771674e-23
9.999999999999999e-09,0.74883493018997715,-0.0025420277751669125,-7.608210844127032e-15,-8.3435032112984806e-10,-1.5783052871618185e-18,-8.5060824775841704e-23,-4.1470335912689825e-25,2.3527925729450739e-24,-0.0014011021998012248,-0.0014011022016400694,-9.0362039341749083e-13,0.0014011022007031928,1.132445368763991e-18,2.9808080633622716e-14,4.7130674419759292e-23
1.3369343e-08,0.99999996760979881,-0.0045353463948018995,-2.1235890150825079e-14,-1.9060570269012633e-09,-4.4019928565728875e-18,-2.7582929373676792e-22,-1.5920219762545993e-24,8.2394224315028742e-24,-0.0024997749532447303,-0.002499774957434591,-2.0658226976998168e-12,0.0024997749553058554,3.4741355039868463e-18,5.3182091503501298e-14,1.5298018821274622e-22
1.7563647e-08,0.99999995678225861,-0.0059545196023963352,-4.4125675137332902e-14,-3.1925843220192583e-09,-9.1403873365505999e-18,-6.8385121887488371e-22,-4.8989377264141005e-24,2.2357823660043998e-23,-0.0032819982810639303,-0.0032819982880717157,-3.4636952600276589e-12,0.0032819982845176264,7.7854547072430803e-18,6.9823726538507968e-14,3.7984929564164189e-22
2.1757951000000003e-08,0.99999994563667227,-0.0073727060468104953,-7.9214424074738547e-14,-4.8029080035491265e-09,-1.6400882520054974e-17,-1.4213661267415683e-21,-1.2134638716259731e-23,4.9830003823204082e-23,-0.0040636819184822004,-0.0040636819290199976,-5.2160960508137503e-12,0.0040636819236800166,1.4659776115951644e-17,8.6453850808040677e-14,7.9068393606469088e-22
3.0146559e-08,0.99999992242801317,-0.010206323120297057,-1.9609306307701818e-13,-8.957297675853287e-09,-4.057486819617986e-17,-4.507151191534713e-21,-5.1800642157798756e-23,1.7581703606775204e-22,-0.0056255424163288671,-0.0056255424359930679,-9.7482149201215034e-12,0.0056255424260306386,3.8442357734316615e-17,1.1968185877007724e-13,2.5153495945598066e-21
3.8535167000000004e-08,0.99999989793902733,-0.013034877777512072,-3.9439464011445205e-13,-1.4423180200127975e-08,-8.1576795707560613e-17,-1.0936778584927987e-20,-1.5332384226592143e-22,4.5649091026551283e-22,-0.0071846298206714844,-0.0071846298523809624,-1.5729600408812768e-11,0.0071846298363063268,7.9948250434427381e-17,1.5285047730378229e-13,6.1204978979100467e-21
4.692377500000001e-08,0.99999987216210051,-0.015857929097764789,-6.9730012319664624e-13,-2.1211603995580253e-08,-1.4419602823075137e-16,-2.253763255952469e-20,-3.6671908144907305e-22,9.8626621656479406e-22,-0.008740701393108629,-0.0087407014398299954,-2.3181343636617981e-11,0.0087407014161211879,1.444842341356836e-16,1.8595435582099371e-13,1.2643946324051568e-20
5.531238300000001e-08,0.99999984510670881,-0.018675393816382883,-1.1284020800516392e-12,-2.931422930844504e-08,-2.3330783516543131e-16,-4.1561017157628717e-20,-7.6105718138975606e-22,1.8832457364484808e-21,-0.010293711278451145,-0.010293711343156896,-3.2103601629873792e-11,0.010293711310280652,2.374635216352188e-16,2.1899233431729483e-13,2.3369160153802421e-20
7.208959900000001e-08,0.99999978723732019,-0.02429382243597385,-2.4872181050467179e-12,-4.9386390801014813e-08,-5.1416557334900261e-16,-1.1563563638218699e-19,-2.5696196222824552e-21,5.5054084926779469e-21,-0.013390688449003289,-0.013390688558543693,-5.4320842656904767e-11,0.013390688502719504,5.3446419670532415e-16,2.8487281995786882e-13,6.5308680971610541e-20
8.886681500000001e-08,0.99999972442048857,-0.029890172413961698,-4.6451628844671839e-12,-7.4554197300309755e-08,-9.6019353754378285e-16,-2.571162554293457e-19,-6.4443131770648724e-21,1.2586274621363474e-20,-0.016475566127434626,-0.01647556629363562,-8.2355053299575254e-11,0.016475566208663209,1.0109273357723224e-15,3.5049086613940425e-13,1.4569313099387073e-19
9.999999999999998e-08,0.94837050818618607,-0.031857405826016309,-6.2700902902616472e-12,-8.9165926479233218e-08,-1.2960573699553884e-15,-3.8245753887005581e-19,-1.0170718175331051e-20,1.8955574591037737e-20,-0.017560043296688248,-0.017560043496144727,-9.8774740910581403e-11,0.017560043393946175,1.3727860750504284e-15,3.7355332850236981e-13,2.1711152586445781e-19
1.0564403100000002e-07,0.99999965674831792,-0.035464490407005528,-7.7832180382754945e-12,-1.0472947206897817e-07,-1.6088282349895755e-15,-4.9522460527986576e-19,-1.3486992783670173e-20,2.4664137321988999e-20,-0.01954836997578811,-0.019548370210460519,-1.161782752691973e-10,0.019548370090085899,1.7083402589139541e-15,4.1584592238639342e-13,2.8134282952467855e-19
1.2242124700000003e-07,0.99999958431480462,-0.04101682199238376,-1.2089125555473808e-11,-1.3982221378561268e-07,-2.4989201272235488e-15,-8.6433398925208685e-19,-2.5020609887695342e-20,4.354448862973299e-20,-0.022609125060487182,-0.022609125375425906,-1.5576176284161014e-10,0.022609125213340693,2.6697258478750044e-15,4.8093749482488459e-13,4.9207765140059963e-19
1.3919846300000004e-07,0.9999995072129868,-0.046547199739633706,-1.775333429754927e-11,-1.7974340478842362e-07,-3.6698958001815783e-15,-1.4032232113787669e-18,-4.2550105253132731e-20,7.126088078034775e-20,-0.025657849288036754,-0.025657849695021811,-2.0107741774985693e-10,0.025657849484863077,3.9387156575662373e-15,5.4576502806909863e-13,8.0028667902592879e-19
1.7275289500000003e-07,0.99999933934779328,-0.057542054277907664,-3.3902802480958864e-11,-2.7374394451495625e-07,-7.0090561645790917e-15,-3.1612560600334552e-18,-1.022045881193936e-19,1.6216194658813553e-19,-0.031719183418875641,-0.031719184045260133,-3.088102193253628e-10,0.031719183719646916,7.5704110021657463e-15,6.7462435240533903e-13,1.8079347071094922e-18
2.0630732700000004e-07,0.9999991538725721,-0.068449235782425066,-5.7778274118600101e-11,-3.8604207285418257e-07,-1.194680816871761e-14,-6.1481494169691366e-18,-2.0700143496055018e-19,3.1724768737955996e-19,-0.037732472234546045,-0.037732473127295642,-4.391569630904357e-10,0.037732472660140459,1.295767810197576e-14,8.0242009844337269e-13,3.523444426129742e-18
2.3986175900000006e-07,0.99999895148449081,-0.079268892811108535,-9.0934678313001643e-11,-5.1597009764190027e-07,-1.8805608208026198e-14,-1.0787269478393717e-17,-3.729056626138622e-19,5.588202553274557e-19,-0.043697797317347589,-0.043697798523302751,-5.919017207383316e-10,0.043697797888120546,2.0456675346572497e-14,9.2914912802319573e-13,6.1920123618481424e-18
2.734161910000001e-07,0.99999873285276242,-0.090001118775587391,-1.3492841033573275e-10,-6.6288679896741719e-07,-2.7908458585728195e-14,-1.7538335300988019e-17,-6.1684805451109497e-19,9.1126124687628334e-19,-0.049615209894739123,-0.049615211460615399,-7.6683537567690266e-10,0.049615210630543291,3.0423967868762011e-14,1.0548085195305436e-12,1.0080139135466686e-17
3.069706230000001e-07,0.99999849862346746,-0.10064598029572669,-1.9132143291508043e-10,-8.2617263643142117e-07,-3.9579747140228951e-14,-2.6891388077114446e-17,-9.56422461740565e-19,1.4008054421017539e-18,-0.055484746436463422,-0.055484748408846957,-9.6375249180883827e-10,0.055484747356664393,4.3217514571506348e-14,1.1793956600386453e-12,1.5472144264893048e-17
3.405250550000001e-07,0.99999824942488891,-0.1112035465770798,-2.6168591069308541e-10,-1.0052244165408244e-06,-5.4146194797237275e-14,-3.9362523761799789e-17,-1.4096980629829493e-18,2.0553978327068164e-18,-0.061306444815006716,-0.061306447240344453,-1.1824480139936017e-09,0.061306445938493909,5.9197757246547252e-14,1.3029083966642143e-12,2.2667708401001997e-17
3.740794870000001e-07,0.99999798587175737,-0.12167390775461809,-3.476073527492595e-10,-1.1994510900361981e-06,-7.1937490833576954e-14,-5.549111041506788e-17,-1.9951250102655745e-18,2.9045980011539819e-18,-0.06708035439622681,-0.067080357320813674,-1.4227150377617622e-09,0.0670803557414206,7.872834663268152e-14,1.4253451270857171e-12,3.1980270958235947e-17
4.411883510000001e-07,0.9999974180700042,-0.14235337968992126,-5.7250545368939636e-10,-1.6311486483204137e-06,-1.1852316841613939e-13,-1.0098071550987274e-16,-3.6374056523426802e-18,5.3129795768920444e-18,-0.078485006931378623,-0.078485010992697848,-1.96714051870221e-09,0.078485008773427872,1.299056934194629e-13,1.6669854149263937e-12,5.8271236636430511e-17
5.015863286000001e-07,0.9999968637838933,-0.16066771341683492,-8.4422157072462704e-10,-2.06595565963782e-06,-1.748316157201217e-13,-1.6025150676940793e-16,-5.7570932131329852e-18,8.4747044896206506e-18,-0.088586331808156948,-0.088586337049141303,-2.5288244091734029e-09,0.088586334155873747,1.9180419090633839e-13,1.8807717594288194e-12,9.2562352385771945e-17
5.619843062e-07,0.99999627181428197,-0.17870127267663108,-1.1914422053979249e-09,-2.5414100747632566e-06,-2.4681632683217936e-13,-2.406480147859623e-16,-8.600951225646237e-18,1.2797720989977129e-17,-0.098533790456099946,-0.098533797023938455,-3.1571813972825546e-09,0.098533793362313937,2.7097009418093208e-13,2.091059897563809e-12,1.3911664699625842e-16
